,Estimated Annual Revenue (millions (USD)),Google Searches,Increasing Google Searches,Facebook Followers,Linkedin Followers,Youtube Subscribers,Twitter Followers,SOS,Total Number of Videos,Effectiveness Percent
7IM,80.1,8063.0,0.0,583.0,6500.0,156.0,884.0,0.01,38.0,0.10526315789473684
Aberdeen Standard Investments,4967.0,7458.0,1.0,27471.0,109312.0,3050.0,79843.0,0.01,199.0,0.06030150753768844
Aegon,79695.0,12951.0,1.0,144746.0,74300.0,1260.0,14300.0,0.02,335.0,0.21194029850746268
Allianz,165426.0,14246.0,0.0,3774810.0,602000.0,22417.0,5397.0,0.02,69.0,0.057971014492753624
Amundi,2595.0,8869.0,1.0,6141.0,92200.0,2980.0,6452.0,0.02,598.0,0.1588628762541806
Aon,10000.0,5358.0,1.0,40301.0,821000.0,6480.0,38900.0,0.01,37.0,0.35135135135135137
Aviva,64095.0,16865.0,1.0,1054462.0,200000.0,12060.0,42308.0,0.03,537.0,0.2085661080074488
AXA Investment Managers,1294.0,5045.0,1.0,3226701.0,87100.0,1660.0,85000.0,0.01,90.0,0.3333333333333333
Baillie Gifford,473.0,6517.0,1.0,851.0,30100.0,2042.0,8221.0,0.01,39.0,0.38461538461538464
Barclays,29770.0,19696.0,0.0,597932.0,1052482.0,17500.0,291200.0,0.03,19.0,0.21052631578947367
BlackRock,16000.0,15641.0,1.0,47586.0,933706.0,15400.0,454317.0,0.03,133.0,0.03007518796992481
Blackstone,6102.0,9558.0,1.0,25867.0,469000.0,17900.0,103200.0,0.02,29.0,0.10344827586206896
BMO,38750.0,9805.0,0.0,172746.0,248000.0,89.0,443.0,0.02,412.0,0.36650485436893204
BNP Paribas,44600.0,14053.0,0.0,326414.0,1000781.0,40040.0,20154.0,0.02,34.0,0.6470588235294118
BNY Mellon,20820.0,13198.0,1.0,14361.0,366000.0,1990.0,34348.0,0.02,512.0,0.0859375
Brewin Dolphin,494.0,13379.0,0.0,4210.0,26100.0,0.0,9136.0,0.02,56.0,0.23214285714285715
Brooks Macdonald,108.0,10318.0,0.0,0.0,9100.0,19.0,2401.0,0.02,202.0,0.15346534653465346
Brown Shipley,166.0,6789.0,0.0,6.0,6400.0,18.0,1473.0,0.01,552.0,0.11956521739130435
Canaccord Genuity Wealth Management,17.3,6537.0,0.0,664.0,5299.0,545.0,4714.0,0.01,37.0,0.16216216216216217
Capital Group,7600.0,4954.0,0.0,173241.0,157000.0,2410.0,141715.0,0.01,1054.0,0.523719165085389
Charles Stanley & Co. Limited,235.0,9678.0,0.0,1826.0,10577.0,79.0,8124.0,0.02,183.0,0.09289617486338798
Close Brothers,1191.0,15383.0,1.0,1329.0,21292.0,138.0,1976.0,0.03,40.0,0.05
Columbia Threadneedle,299.2,6715.0,0.0,5.0,23543.0,1150.0,11560.0,0.01,276.0,0.18478260869565216
Credit Suisse,24331.0,9135.0,1.0,156004.0,56022.0,28500.0,360700.0,0.02,352.0,0.3693181818181818
Fidelity,20900.0,14789.0,1.0,68231.0,604582.0,45200.0,294827.0,0.03,10.0,0.2
Franklin Templeton,5566.0,2480.0,0.0,28546.0,194456.0,3380.0,102572.0,0.0,,
Goldman Sachs,44600.0,8136.0,1.0,283212.0,2720570.0,170000.0,858100.0,0.01,134.0,0.19402985074626866
HSBC,5043.0,14842.0,0.0,2916939.0,2673200.0,424.0,189100.0,0.03,36.0,0.25
Invesco,6117.0,12339.0,1.0,21920.0,57577.0,39244.0,5803.0,0.02,156.0,0.11538461538461539
Investec,2486.0,15349.0,0.0,203700.0,254859.0,10700.0,39400.0,0.03,89.0,0.15730337078651685
James Hambro & Partners,33.1,3700.0,0.0,0.0,1100.0,9170.0,191.0,0.01,84.0,0.2261904761904762
Janus Henderson Investment Trusts,738.0,7711.0,1.0,5916.0,33108.0,424.0,1376.0,0.01,30.0,0.03333333333333333
JP Morgan,115600.0,17559.0,1.0,394613.0,2874333.0,63900.0,589300.0,0.03,285.0,0.09824561403508772
Jupiter Asset Management,500.5,7450.0,0.0,0.0,27611.0,0.0,2237.0,0.01,1038.0,0.11078998073217726
Killik and Co.,67.4,6534.0,0.0,956.0,4444.0,27000.0,1958.0,0.01,56.0,0.08928571428571429
Legal and General,6910.0,16664.0,1.0,22326.0,78900.0,1440.0,99.0,0.03,139.0,0.6834532374100719
Legg Mason,2922.0,6468.0,1.0,0.0,42922.0,474.0,1015.0,0.01,54.0,0.09259259259259259
LGT Vestra,75.6,5102.0,0.0,0.0,5134.0,50.0,0.0,0.01,319.0,0.4827586206896552
M&G Investments,7975.0,9008.0,1.0,387.0,48879.0,966.0,2336.0,0.02,826.0,0.2772397094430993
Man Group,939.0,7980.0,0.0,20.0,56902.0,0.0,6153.0,0.01,0.0,0.0
Natixis,8478.0,9593.0,0.0,13262.0,163906.0,640.0,8131.0,0.02,0.0,0.0
Nomura,1385.4,7941.0,0.0,529.0,305000.0,1680.0,13046.0,0.01,228.0,0.12719298245614036
Quilter Cheviot,250.0,10193.0,0.0,5341.0,8563.0,150.0,2704.0,0.02,160.0,0.0125
Rathbone Brothers,486.0,8910.0,0.0,925.0,17088.0,0.0,4148.0,0.02,100.0,0.3
Royal London Asset Management,257.0,17068.0,1.0,2480.0,15299.0,0.0,4589.0,0.03,39.0,0.05128205128205128
Royal London Cricket,4285.0,19383.0,1.0,19310.0,0.0,0.0,0.0,0.03,498.0,0.28714859437751006
Santander,52138.0,19076.0,0.0,379628.0,10272.0,429.0,355.0,0.03,1165.0,0.15965665236051502
Schroders,3458.0,11272.0,1.0,5909.0,129038.0,3460.0,23229.0,0.02,89.0,0.3595505617977528
Smith & Williamson,367.0,11758.0,0.0,95.0,19470.0,0.0,7111.0,0.02,1305.0,0.1739463601532567
St. James's Place,11093.0,13679.0,1.0,3319.0,16338.0,700.0,4009.0,0.02,166.0,0.6927710843373494
State Street Global Advisors,11982.0,10186.0,0.0,380.0,35708.0,788.0,117900.0,0.02,48.0,0.041666666666666664
T. Rowe Price,6200.0,7622.0,1.0,168076.0,104062.0,3290.0,29498.0,0.01,30.0,0.6
Tilney Group,62.5,4503.0,0.0,1782.0,15090.0,0.0,1980.0,0.01,149.0,0.09395973154362416
UBS,3603.0,15304.0,1.0,227956.0,172987.0,28600.0,521000.0,0.03,26.0,0.038461538461538464
Vanguard,6936.0,8450.0,1.0,235541.0,251579.0,32000.0,329575.0,0.01,549.0,0.2204007285974499
